CAT_SUBJECTCODE,CAT_TITLE,SUPERCAT_SUBJECTCODE,SUPERCAT_TITLE
"E15000","History of Philosophy","E","Philosophy"
"E16000","Logic","E","Philosophy"
"E17000","Medieval Philosophy","E","Philosophy"
"E18000","Metaphysics","E","Philosophy"
"E19000","Modern Philosophy","E","Philosophy"
"E22000","Ontology","E","Philosophy"
"E25000","Philosophy of Education","E","Philosophy"
"E26000","Philosophy of Language","E","Philosophy"
"E27000","Philosophy of Law","E","Philosophy"
"E28000","Philosophy of Man","E","Philosophy"
"E31000","Philosophy of Mind","E","Philosophy"
"E33000","Philosophy of Religion","E","Philosophy"
"E34000","Philosophy of Science","E","Philosophy"
"E36000","Philosophy of the Social Sciences","E","Philosophy"
"E37000","Political Philosophy","E","Philosophy"
"E39000","Analytic Philosophy","E","Philosophy"
"E50000","Philosophical Methodology","E00003","Philosophy"
"F00008","Pharmacy","F","Pharmacy"
"G00002","Earth Sciences, general","G","Earth Sciences"
"G38000","Mineralogy","G","Earth Sciences"
"G39000","Paleontology","G","Earth Sciences"
"G35000","Earth System Sciences","G","Earth Sciences"
"G25005","Oceanography","G","Earth Sciences"
"G17002","Geology","G","Earth Sciences"
"G18009","Geophysics/Geodesy","G","Earth Sciences"
"G19005","Hydrogeology","G","Earth Sciences"
"G14003","Geochemistry","G","Earth Sciences"
"G32000","Natural hazards","G00002","Earth Sciences, general"
"G37000","Environmental Science and Engineering","G00002","Earth Sciences, general"
"G36000","Atmospheric Sciences","G00002","Earth Sciences, general"
"J22000","Cultural Geography","J00000","Geography"
"J13010","Remote Sensing/Photogrammetry","J13000","Geoinformation/Cartography"
"G17090","Geomorphology","G17002","Geology"
"G17010","Economic Geology","G17002","Geology"
"G17020","Historical Geology","G17002","Geology"
"G17080","Sedimentology","G17002","Geology"
"G17040","Structural Geology","G17002","Geology"
"G17060","Mineralogy","G17002","Geology"
"G17070","Paleontology","G17002","Geology"
"G17030","Quantitative Geology","G17002","Geology"
"G18010","Planetology","G18009","Geophysics/Geodesy"
"H82000","Sexual Medicine","H","Medicine"
"H83000","Medical Technical Assistant","H","Medicine"
"H71000","Phlebology","H","Medicine"
"H72000","Patient Guide","H","Medicine"
"H74000","Palliative Medicine","H","Medicine"
"H75000","Psychosomatic Medicine","H","Medicine"
"H76000","Premedical Education","H","Medicine"
"H69000","Pharmacotherapy","H","Medicine"
"H81000","Health Services Research","H","Medicine"
"H78000","Physiotherapy","H","Medicine"
"H79000","Speech Pathology","H","Medicine"
"H56002","Reproductive Medicine","H","Medicine"
"H58005","Sports Medicine","H","Medicine"
"H59001","Surgery","H","Medicine"
"H61006","Tropical Medicine","H","Medicine"
"H62002","Urology/Andrology","H","Medicine"
"H63000","Epidemiology","H","Medicine"
"H64000","History of Medicine","H","Medicine"
"H65000","Quality of Life Research","H","Medicine"
"H66000","Theory of Medicine/Bioethics","H","Medicine"
"H67000","Veterinary Medicine","H","Medicine"
"H68000","Practice Management","H","Medicine"
"H00007","Medicine, general","H","Medicine"
"H11009","Allergology","H","Medicine"
"H12005","Anatomy","H","Medicine"
"H13001","Anesthesiology","H","Medicine"
"H14008","Chiropractic Medicine","H","Medicine"
"H17007","Complementary & Alternative Medicine","H","Medicine"
"H1900X","Dermatology","H","Medicine"
"H22000","Emergency Medicine","H","Medicine"
"H73000","Emergency Services","H","Medicine"
"H23007","Forensic Medicine","H","Medicine"
"H24003","General Practice / Family Medicine","H","Medicine"
"H2500X","Geriatrics/Gerontology","H","Medicine"
"H26006","Gynecology","H","Medicine"
"H27002","Health Care Administration","H","Medicine"
"H28009","Health Informatics & Health Administration","H","Medicine"
"H29005","Imaging / Radiology","H","Medicine"
"H3100X","Intensive / Critical Care Medicine","H","Medicine"
"H33002","Internal Medicine","H","Medicine"
"H35005","Medical Biochemistry","H","Medicine"
"H36001","Neurology","H","Medicine"
"H39000","Neurosurgery","H","Medicine"
"H41005","Nursing","H","Medicine"
"H42001","Occupational Medicine/Industrial Medicine","H","Medicine"
"H43008","Oncology","H","Medicine"
"H44004","Ophthalmology","H","Medicine"
"H45000","Orthopedics","H","Medicine"
"H46007","Otorhinolaryngology","H","Medicine"
"H47003","Pain Medicine","H","Medicine"
"H4800X","Pathology","H","Medicine"
"H49006","Pediatrics","H","Medicine"
"H51000","Primary Care Medicine","H","Medicine"
"H52007","Proctology","H","Medicine"
"H53003","Psychiatry","H","Medicine"
"H5400X","Psychotherapy","H","Medicine"
"H55006","Rehabilitation","H","Medicine"
"H77000","Occupational Therapy","H","Medicine"
"H17015","Acupuncture","H17007","Complementary & Alternative Medicine"
"H17020","Traditional Chinese Medicine","H17007","Complementary & Alternative Medicine"
"H26014","Obstetrics/Perinatology","H26006","Gynecology"
"H27010","Health Promotion and Disease Prevention","H27002","Health Care Administration"
"H27030","Health Administration","H27002","Health Care Administration"
"H27040","Health Policy","H27002","Health Care Administration"
"H27025","Maternal and Child Health","H27002","Health Care Administration"
"H29071","Cardiac Imaging (new)","H29005","Imaging / Radiology"
"H29080","Radiologic Technologists","H29005","Imaging / Radiology"
"H29064","Ultrasound","H29005","Imaging / Radiology"
"H29056","Radiotherapy","H29005","Imaging / Radiology"
"H29048","Nuclear Medicine","H29005","Imaging / Radiology"
"H2903X","Neuroradiology","H29005","Imaging / Radiology"
"H29021","Interventional Radiology","H29005","Imaging / Radiology"
"H29013","Diagnostic Radiology","H29005","Imaging / Radiology"
"H33088","Hepatology","H33002","Internal Medicine"
"H33170","Rheumatology","H33002","Internal Medicine"
"H33118","Metabolic Diseases","H33002","Internal Medicine"
"H33126","Nephrology","H33002","Internal Medicine"
"H33010","Angiology","H33002","Internal Medicine"
"H33029","Blood Transfusion Medicine","H33002","Internal Medicine"
"H33037","Cardiology","H33002","Internal Medicine"
"H33045","Diabetes","H33002","Internal Medicine"
"H33053","Endocrinology","H33002","Internal Medicine"
"H3307X","Hematology","H33002","Internal Medicine"
"H33061","Gastroenterology","H33002","Internal Medicine"
"H33134","Pneumology/Respiratory System","H33002","Internal Medicine"
"H33150","Geriatrics/Gerontology ","H33002","Internal Medicine"
"H33160","Oncology ","H33002","Internal Medicine"
"H33140","Clinical Nutrition","H33002","Internal Medicine"
"H33096","Infectious Diseases","H33002","Internal Medicine"
"H41020","Geriatric Care","H41005","Nursing"
"H41013","Nursing Management/Nursing Research","H41005","Nursing"
"H41050","Nursing Ethics","H41005","Nursing"
"H41040","Nursing Education","H41005","Nursing"
"H41030","Nursing Research","H41005","Nursing"
"H41060","Learning Disabilities Nursing","H41005","Nursing"
"H45019","Conservative Orthopedics","H45000","Orthopedics"
"H45027","Surgical Orthopedics","H45000","Orthopedics"
"H46015","Head and Neck Surgery","H46007","Otorhinolaryngology"
"H53040","Child and Adolescent Psychiatry","H53003","Psychiatry"
"H53020","Forensic Psychiatry","H53003","Psychiatry"
"H53030","Geriatric Psychiatry","H53003","Psychiatry"
"H53010","Psychopharmacology","H53003","Psychiatry"
"H54030","Family, Group and Systematic Therapy","H5400X","Psychotherapy"
"H54026","Psychoanalysis","H5400X","Psychotherapy"
"H54018","Behavioral Therapy","H5400X","Psychotherapy"
"H55030","Rehabilitation Medicine","H55006","Rehabilitation"
"H59140","Hand Surgery","H59001","Surgery"
"H59150","Surgical Oncology","H59001","Surgery"
"H5901X","Abdominal Surgery","H59001","Surgery"
"H59028","Cardiac Surgery","H59001","Surgery"
"H59036","Colorectal Surgery","H59001","Surgery"
"H59044","General Surgery","H59001","Surgery"
"H59052","Minimally Invasive Surgery","H59001","Surgery"
"H59060","Oral and Maxillofacial Surgery","H59001","Surgery"
"H59079","Pediatric Surgery","H59001","Surgery"
"H59087","Plastic Surgery","H59001","Surgery"
"H59095","Thoracic Surgery","H59001","Surgery"
"H59117","Transplant Surgery","H59001","Surgery"
"H59125","Traumatic Surgery","H59001","Surgery"
"H59133","Vascular Surgery","H59001","Surgery"
"H62010","Andrology","H62002","Urology/Andrology"
"I17001","Mathematics of Computing","I","Computer Science"
"I16005","Theory of Computation","I","Computer Science"
"I15009","Data Structures, Cryptology and Information Theory","I","Computer Science"
"I14002","Software Engineering/Programming and Operating Systems","I","Computer Science"
"I23001","Computer Applications","I","Computer Science"
"I26000","e-business and e-commerce","I","Computer Science"
"I13006","Computer Systems Organization and Communication Networks","I","Computer Science"
"I22005","Computer Imaging, Vision, Pattern Recognition and Graphics","I","Computer Science"
"I18008","Information Systems and Communication Service","I","Computer Science"
"I1200X","Computer Hardware","I","Computer Science"
"I00001","Computer Science, general","I","Computer Science"
"I21000","Artificial Intelligence","I","Computer Science"
"I19000","Simulation and Modeling","I","Computer Science"
"I27000","Computer Engineering","I","Computer Science"
"I29000","Professional Computing","I","Computer Science"
"I24008","Computing Milieux","I","Computer Science"
"I25004","Media Design","I","Computer Science"
"I28000","Security","I","Computer Science"
"I12018","Control Structures and Microprogramming","I1200X","Computer Hardware"
"I12034","Memory Structures","I1200X","Computer Hardware"
"I12042","Input/Output and Data Communications","I1200X","Computer Hardware"
"I12026","Arithmetic and Logic Structures","I1200X","Computer Hardware"
"I12050","Logic Design","I1200X","Computer Hardware"
"I12069","Register-Transfer-Level Implementation","I1200X","Computer Hardware"
"I12077","Performance and Reliability","I1200X","Computer Hardware"
"I13022","Computer Communication Networks","I13006","Computer Systems Organization and Communication Networks"
"I13057","Computer System Implementation","I13006","Computer Systems Organization and Communication Networks"
"I13049","System Performance and Evaluation","I13006","Computer Systems Organization and Communication Networks"
"I13030","Special Purpose and Application-Based Systems","I13006","Computer Systems Organization and Communication Networks"
"I13014","Processor Architectures","I13006","Computer Systems Organization and Communication Networks"
"I14037","Programming Languages, Compilers, Interpreters","I14002","Software Engineering/Programming and Operating Systems"
"I14045","Operating Systems","I14002","Software Engineering/Programming and Operating Systems"
"I14010","Programming Techniques","I14002","Software Engineering/Programming and Operating Systems"
"I14029","Software Engineering","I14002","Software Engineering/Programming and Operating Systems"
"I15041","Coding and Information Theory","I15009","Data Structures, Cryptology and Information Theory"
"I15025","Data Storage Representation","I15009","Data Structures, Cryptology and Information Theory"
"I15017","Data Structures","I15009","Data Structures, Cryptology and Information Theory"
"I1603X","Logics and Meanings of Programs","I16005","Theory of Computation"
"I16013","Computation by Abstract Devices","I16005","Theory of Computation"
"I16021","Algorithm Analysis and Problem Complexity","I16005","Theory of Computation"
"I16048","Mathematical Logic and Formal Languages","I16005","Theory of Computation"
"I17052","Symbolic and Algebraic Manipulation","I17001","Mathematics of Computing"
"I17044","Math Applications in Computer Science","I17001","Mathematics of Computing"
"I17036","Probability and Statistics in Computer Science","I17001","Mathematics of Computing"
"I1701X","Numeric Computing","I17001","Mathematics of Computing"
"I17028","Discrete Mathematics in Computer Science","I17001","Mathematics of Computing"
"I18067","User Interfaces and Human Computer Interaction","I18008","Information Systems and Communication Service"
"I18059","Multimedia Information Systems","I18008","Information Systems and Communication Service"
"I18040","Information Systems Applications (incl.Internet)","I18008","Information Systems and Communication Service"
"I18032","Information Storage and Retrieval","I18008","Information Systems and Communication Service"
"I18024","Database Management","I18008","Information Systems and Communication Service"
"I18016","Models and Principles","I18008","Information Systems and Communication Service"
"I18030","Data Mining and Knowledge Discovery","I18008","Information Systems and Communication Service"
"I22040","Biometrics","I22005","Computer Imaging, Vision, Pattern Recognition and Graphics"
"I22021","Image Processing and Computer Vision","I22005","Computer Imaging, Vision, Pattern Recognition and Graphics"
"I2203X","Pattern Recognition","I22005","Computer Imaging, Vision, Pattern Recognition and Graphics"
"I22013","Computer Graphics","I22005","Computer Imaging, Vision, Pattern Recognition and Graphics"
"I23050","Computational Biology/Bioinformatics","I23001","Computer Applications"
"I23028","Computer Appl. in Social and Behavioral Sciences","I23001","Computer Applications"
"I23044","Computer-Aided Engineering (CAD, CAE) and Design","I23001","Computer Applications"
"I23036","Computer Appl. in Arts and Humanities","I23001","Computer Applications"
"I2301X","Computer Appl. in Administrative Data Processing","I23001","Computer Applications"
"I23060","Health Informatics","I23001","Computer Applications"
"I24067","Management of Computing and Information Systems","I24008","Computing Milieux"
"I24059","Legal Aspects of Computing","I24008","Computing Milieux"
"I24040","Computers and Society","I24008","Computing Milieux"
"I24032","Computers and Education","I24008","Computing Milieux"
"I24024","History of Computing","I24008","Computing Milieux"
"I24016","The Computer Industry","I24008","Computing Milieux"
"I24083","Personal Computing","I24008","Computing Milieux"
"I24075","The Computing Profession","I24008","Computing Milieux"
"K12008","Architectural History and Theory","K","Architecture"
"K13004","Building Types and Functions","K","Architecture"
"K14000","Cities, Countries, Regions","K","Architecture"
"K15007","Interior Architecture and Design","K","Architecture"
"K11001","Architects","K","Architecture"
"K0000X","Architecture, general","K","Architecture"
"K19030","Interaction Design (Interaktionsdesign)","K","Architecture"
"K19020","Industrial Design (Industriedesign)","K","Architecture"
"K19010","Graphic Design (Grafikdesign)","K","Architecture"
"K19000","Design, general (Design, allgemein)","K","Architecture"
"K16003","Landscape Architecture","K","Architecture"
"K1700X","Basics of Construction","K","Architecture"
"K18006","Urbanism","K","Architecture"
"L29000","Sport","L","Life Sciences"
"L23004","Microbiology","L","Life Sciences"
"L24000","Plant Sciences","L","Life Sciences"
"L25007","Zoology","L","Life Sciences"
"L31000","History of Biology","L","Life Sciences"
"L26000","Biological Microscopy","L","Life Sciences"
"L27000","Fungus Genetics","L","Life Sciences"
"L28000","Biological Techniques","L","Life Sciences"
"L00004","Life Sciences, general","L","Life Sciences"
"L11006","Agriculture","L","Life Sciences"
"L13009","Behavioural Sciences","L","Life Sciences"
"L14005","Biochemistry, general","L","Life Sciences"
"L15001","Bioinformatics","L","Life Sciences"
"L16008","Cell Biology","L","Life Sciences"
"L17004","Computer Appl. in Life Sciences","L","Life Sciences"
"L18000","Developmental Biology","L","Life Sciences"
"L19007","Ecology","L","Life Sciences"
"L21001","Evolutionary Biology","L","Life Sciences"
"L22008","Forestry","L","Life Sciences"
"L33000","Physiology","L00004","Life Sciences, general"
"L32000","Genetics and Genomics","L00004","Life Sciences, general"
"X12080","Medical Anthropology","X12000","Anthropology"
"X12010","Biological Anthropology","X12000","Anthropology"
"X12030","Social Anthropology","X12000","Anthropology"
"X12020","Linguistic Anthropology","X12000","Anthropology"
"X12050","Feminist Anthropology","X12000","Anthropology"
"X12060","Ethnography","X12000","Anthropology"
"X12070","Ethnology","X12000","Anthropology"
"X12040","Structural Anthropology","X12000","Anthropology"
"L14011","Nucleic Acid Chemistry","L14005","Biochemistry, general"
"L14040","Protein Science","L14005","Biochemistry, general"
"L14050","Protein Structure","L14005","Biochemistry, general"
"L14060","Protein-Ligand Interactions","L14005","Biochemistry, general"
"L14070","Enzymology","L14005","Biochemistry, general"
"L1403X","Proteomics","L14005","Biochemistry, general"
"L14090","Posttranslational Modification","L14005","Biochemistry, general"
"L14110","Receptors","L14005","Biochemistry, general"
"L14120","Cytokines and Growth Factors","L14005","Biochemistry, general"
"L14013","Animal Biochemistry","L14005","Biochemistry, general"
"L14021","Plant Biochemistry","L14005","Biochemistry, general"
"L14080","Lipidology","L14005","Biochemistry, general"
"L15010","Systems Biology","L15001","Bioinformatics"
"L15040","Combinatorial Libraries","L15001","Bioinformatics"
"L15030","Metabolomics","L15001","Bioinformatics"
"L15020","Biostatistics","L15001","Bioinformatics"
"L16090","Cardiovascular Biology","L16008","Cell Biology"
"L16080","Regenerative Medicine/Tissue Engineering","L16008","Cell Biology"
"L16010","Stem Cells","L16008","Cell Biology"
"L16020","Cell Culture","L16008","Cell Biology"
"L16070","Oxidative Stress","L16008","Cell Biology"
"L16040","Cell Physiology","L16008","Cell Biology"
"L16050","Membrane Biology","L16008","Cell Biology"
"L16060","Apoptosis","L16008","Cell Biology"
"L16030","Cell Cycle Analysis","L16008","Cell Biology"
"L18010","Embryology","L18000","Developmental Biology"
"L19150","Conservation Biology/Ecology","L19007","Ecology"
"L19160","Urban Ecology","L19007","Ecology"
"L19015","Animal Ecology","L19007","Ecology"
"L19023","Applied Ecology","L19007","Ecology"
"L19031","Biodiversity","L19007","Ecology"
"L1904X","Ecosystems","L19007","Ecology"
"L19147","Theoretical Ecology","L19007","Ecology"
"L19066","Limnology","L19007","Ecology"
"L19082","Microbial Ecology","L19007","Ecology"
"L19090","Molecular Ecology","L19007","Ecology"
"L19112","Plant Ecology","L19007","Ecology"
"L19120","Population Ecology","L19007","Ecology"
"L19139","Terrestial Ecology","L19007","Ecology"
"L19058","Landscape Ecology","L19007","Ecology"
"L22016","Forestry Management","L22008","Forestry"
"L22032","Wood Science & Technology","L22008","Forestry"
"L22024","Tree Biology","L22008","Forestry"
"L23012","Bacteriology","L23004","Microbiology"
"L23040","Food Microbiology","L23004","Microbiology"
"L23039","Microbial Genetics and Genomics","L23004","Microbiology"
"L23020","Eukaryotic Microbiology","L23004","Microbiology"
"L24019","Plant Anatomy/Development","L24000","Plant Sciences"
"L24027","Plant Genetics & Genomics","L24000","Plant Sciences"
"L24060","Plant Breeding/Biotechnology","L24000","Plant Sciences"
"L24043","Plant Physiology","L24000","Plant Sciences"
"L24051","Plant Systematics/Taxonomy/Biogeography","L24000","Plant Sciences"
"L24035","Plant Pathology","L24000","Plant Sciences"
"L25025","Transgenics","L25007","Zoology"
"L25050","Animal Models","L25007","Zoology"
"L25015","Animal Anatomy / Morphology / Histology","L25007","Zoology"
"L25023","Animal Genetics and Genomics","L25007","Zoology"
"L25031","Animal Physiology","L25007","Zoology"
"L25090","Entomology","L25007","Zoology"
"L25058","Invertebrates","L25007","Zoology"
"L25066","Neurobiology","L25007","Zoology"
"L25074","Vertebrates","L25007","Zoology"
"L25080","Fish & Wildlife Biology & Management","L25007","Zoology"
"L2504X","Animal Systematics/Taxonomy/Biogeography","L25007","Zoology"
"M36000","Mathematics of Planet Earth","M","Mathematics"
"M28000","Topology","M","Mathematics"
"M32000","Mathematics in the Humanities and Social Sciences","M","Mathematics"
"M33000","Mathematics in Music","M","Mathematics"
"M34000","Mathematics in Art and Architecture","M","Mathematics"
"M35000","Mathematical Physics","M","Mathematics"
"M29000","Discrete Mathematics","M","Mathematics"
"M00009","Mathematics, general","M","Mathematics"
"M11000","Algebra","M","Mathematics"
"M12007","Analysis","M","Mathematics"
"M13003","Applications of Mathematics","M","Mathematics"
"M1400X","Computational Mathematics and Numerical Analysis","M","Mathematics"
"M21006","Geometry","M","Mathematics"
"M23009","History of Mathematics","M","Mathematics"
"M24005","Mathematical Logic and Foundations","M","Mathematics"
"M25001","Number Theory","M","Mathematics"
"M26008","Optimization","M","Mathematics"
"M27004","Probability Theory and Stochastic Processes","M","Mathematics"
"M31000","Mathematical and Computational Biology","M","Mathematics"
"M11100","Linear Algebra","M11000","Algebra"
"M11019","Algebraic Geometry","M11000","Algebra"
"M11027","Associative Rings and Algebras","M11000","Algebra"
"M11035","Category Theory, Homological Algebra","M11000","Algebra"
"M11043","Commutative Rings and Algebras","M11000","Algebra"
"M11051","Field Theory and Polynomials","M11000","Algebra"
"M11132","Topological Groups, Lie Groups","M11000","Algebra"
"M11078","Group Theory and Generalizations","M11000","Algebra"
"M11086","K-Theory","M11000","Algebra"
"M11094","Linear and Multilinear Algebras, Matrix Theory","M11000","Algebra"
"M11116","Non-associative Rings and Algebras","M11000","Algebra"
"M11124","Order, Lattices, Ordered Algebraic Structures","M11000","Algebra"
"M1106X","General Algebraic Systems","M11000","Algebra"
"M12220","Calculus","M12007","Analysis"
"M1221X","Special Functions","M12007","Analysis"
"M12023","Approximations and Expansions","M12007","Analysis"
"M12031","Difference and Functional Equations","M12007","Analysis"
"M1204X","Dynamical Systems and Ergodic Theory","M12007","Analysis"
"M12058","Fourier Analysis","M12007","Analysis"
"M12066","Functional Analysis","M12007","Analysis"
"M12074","Functions of a Complex Variable","M12007","Analysis"
"M12082","Global Analysis and Analysis on Manifolds","M12007","Analysis"
"M12090","Integral Equations","M12007","Analysis"
"M12112","Integral Transforms, Operational Calculus","M12007","Analysis"
"M12120","Measure and Integration","M12007","Analysis"
"M12139","Operator Theory","M12007","Analysis"
"M12147","Ordinary Differential Equations","M12007","Analysis"
"M12155","Partial Differential Equations","M12007","Analysis"
"M12163","Potential Theory","M12007","Analysis"
"M12171","Real Functions","M12007","Analysis"
"M1218X","Sequences, Series, Summability","M12007","Analysis"
"M12198","Several Complex Variables and Analytic Spaces","M12007","Analysis"
"M12015","Abstract Harmonic Analysis","M12007","Analysis"
"M13070","Systems Theory, Control","M13003","Applications of Mathematics"
"M13062","Quantitative Finance","M13003","Applications of Mathematics"
"M13038","Information and Communication, Circuits","M13003","Applications of Mathematics"
"M13011","Game Theory, Economics, Social and Behav. Sciences","M13003","Applications of Mathematics"
"M13140","Financial Mathematics","M13003","Applications of Mathematics"
"M13080","Actuarial Sciences","M13003","Applications of Mathematics"
"M13120","Mathematical Applications in the Physical Sciences","M13003","Applications of Mathematics"
"M13110","Mathematical Applications in Computer Science","M13003","Applications of Mathematics"
"M13100","Mathematical Models of Cognitive Processes and Neural Networks","M13003","Applications of Mathematics"
"M13090","Complex Systems","M13003","Applications of Mathematics"
"M13130","Mathematics of Algorithmic Complexity","M13003","Applications of Mathematics"
"M14068","Mathematical Modeling and Industrial Mathematics","M1400X","Computational Mathematics and Numerical Analysis"
"M14050","Numerical Analysis","M1400X","Computational Mathematics and Numerical Analysis"
"M14042","Mathematical Software","M1400X","Computational Mathematics and Numerical Analysis"
"M14034","Visualization","M1400X","Computational Mathematics and Numerical Analysis"
"M14026","Computational Science and Engineering","M1400X","Computational Mathematics and Numerical Analysis"
"M14018","Algorithms","M1400X","Computational Mathematics and Numerical Analysis"
"M14070","Quantum Computing","M1400X","Computational Mathematics and Numerical Analysis"
"M21014","Convex and Discrete Geometry","M21006","Geometry"
"M21050","Projective Geometry","M21006","Geometry"
"M21030","Hyperbolic Geometry","M21006","Geometry"
"M21040","Polytopes","M21006","Geometry"
"M21022","Differential Geometry","M21006","Geometry"
"M24010","Structures and Proofs","M24005","Mathematical Logic and Foundations"
"M26040","Discrete Optimization","M26008","Optimization"
"M26030","Continuous Optimization","M26008","Optimization"
"M26024","Operations Research, Mathematical Programming","M26008","Optimization"
"M26016","Calculus of Variations and Optimal Control; Optimization","M26008","Optimization"
"M27010","Markov model","M27004","Probability Theory and Stochastic Processes"
"M28027","Manifolds and Cell Complexes (incl. Diff.Topology)","M28000","Topology"
"M28019","Algebraic Topology","M28000","Topology"
"P34000","Societal Aspects of Physics","P","Physics"
"P25005","Condensed Matter Physics","P","Physics"
"P24009","Atomic, Molecular, Optical and Plasma Physics","P","Physics"
"P23002","Particle and Nuclear Physics","P","Physics"
"P19005","Theoretical, Mathematical and Computational Physics","P","Physics"
"P27008","Biophysics and Biological Physics","P","Physics"
"P33020","Nonlinear Dynamics","P","Physics"
"P33010","Complex Networks","P","Physics"
"P32000","Geophysics and Environmental Physics","P","Physics"
"P31000","Applied and Technical Physics","P","Physics"
"P22006","Astronomy, Astrophysics and Cosmology","P","Physics"
"P2100X","Classical Continuum Physics","P","Physics"
"P29000","History and Philosophical Foundations of Physics","P","Physics"
"P00002","Physics, general","P","Physics"
"P33030","Socio- and Econophysics, Population and Evolutionary Models","P","Physics"
"P33000","Statistical Physics, Dynamical Systems and Complexity","P","Physics"
"P19048","Quantum Field Theories, String Theory","P19005","Theoretical, Mathematical and Computational Physics"
"P19013","Mathematical Methods in Physics","P19005","Theoretical, Mathematical and Computational Physics"
"P19021","Numerical and Computational Physics","P19005","Theoretical, Mathematical and Computational Physics"
"P19070","Classical and Quantum Gravitation, Relativity Theory","P19005","Theoretical, Mathematical and Computational Physics"
"P19080","Classical and Quantum Gravitation, Relativity Theory","P19005","Theoretical, Mathematical and Computational Physics"
"P19090","Statistical Physics and Dynamical Systems","P19005","Theoretical, Mathematical and Computational Physics"
"P21069","Acoustics","P2100X","Classical Continuum Physics"
"P21018","Mechanics","P2100X","Classical Continuum Physics"
"P21070","Optics and Electrodynamics","P2100X","Classical Continuum Physics"
"P21050","Thermodynamics","P2100X","Classical Continuum Physics"
"P21026","Fluid- and Aerodynamics","P2100X","Classical Continuum Physics"
"P22080","Theoretical Astrophysics","P22006","Astronomy, Astrophysics and Cosmology"
"P22049","Cosmology","P22006","Astronomy, Astrophysics and Cosmology"
"P22060","Planetary Sciences","P22006","Astronomy, Astrophysics and Cosmology"
"P22070","Solar and Heliospheric Physics","P22006","Astronomy, Astrophysics and Cosmology"
"P22014","Astronomy, Observations and Techniques","P22006","Astronomy, Astrophysics and Cosmology"
"P22022","Astrophysics and Astroparticles","P22006","Astronomy, Astrophysics and Cosmology"
"P22030","Extraterrestrial Physics, Space Sciences","P22006","Astronomy, Astrophysics and Cosmology"
"P22057","Astrobiology","P22006","Astronomy, Astrophysics and Cosmology"
"P23010","Nuclear Physics, Heavy Ions, Hadrons","P23002","Particle and Nuclear Physics"
"P23045","Nuclear Fusion","P23002","Particle and Nuclear Physics"
"P23037","Particle Acceleration and Detection, Beam Physics","P23002","Particle and Nuclear Physics"
"P23029","Elementary Particles, Quantum Field Theory","P23002","Particle and Nuclear Physics"
"P24040","Plasma Physics","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P24017","Atomic/Molecular Structure and Spectra","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P24050","Quantum Optics","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P24033","Quantum Gases and Condensates","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P24025","Atoms and Molecules in Strong Fields, Laser Matter Interaction","P24009","Atomic, Molecular, Optical and Plasma Physics"
"P25130","Low Temperature Physics","P25005","Condensed Matter Physics"
"P25140","Nanoscale Science and Technology","P25005","Condensed Matter Physics"
"P25150","Semiconductors","P25005","Condensed Matter Physics"
"P25160","Surface and Interface Science, Thin Films","P25005","Condensed Matter Physics"
"P25129","Magnetism, Magnetic Materials","P25005","Condensed Matter Physics"
"P25021","Soft and Granular Matter, Complex Fluids and Microfluidics","P25005","Condensed Matter Physics"
"P25056","Crystallography","P25005","Condensed Matter Physics"
"P25064","Strongly Correlated Systems, Superconductivity","P25005","Condensed Matter Physics"
"P25099","Phase Transitions and Multiphase Systems","P25005","Condensed Matter Physics"
"P25013","Solid State Physics","P25005","Condensed Matter Physics"
"P27060","Medical and Radiation Physics","P27008","Biophysics and Biological Physics"
"P27010","Single Molecule Studies, Molecular Motors","P27008","Biophysics and Biological Physics"
"P27050","Biological Networks, Systems Biology","P27008","Biophysics and Biological Physics"
"P27030","Membranes","P27008","Biophysics and Biological Physics"
"P27040","Physics of the Cell","P27008","Biophysics and Biological Physics"
"P27020","Multicellular Systems","P27008","Biophysics and Biological Physics"
"Q36000","Popular Science in Technology","Q","Popular Science"
"Q18003","Popular Science in Psychology","Q","Popular Science"
"Q38000","Popular Science in Sports","Q","Popular Science"
"Q19000","Popular Science in Chemistry and Materials","Q","Popular Science"
"Q21000","Popular Science in Philosophy","Q","Popular Science"
"Q22000","Popular Earth Science","Q","Popular Science"
"Q23000","Popular Computer Science","Q","Popular Science"
"Q24000","Popular Science in Geography","Q","Popular Science"
"Q25000","Popular Life Siences","Q","Popular Science"
"Q26000","Popular Science in Mathematics","Q","Popular Science"
"Q27000","Popular Science in Linguistics","Q","Popular Science"
"Q28000","Popular Science in Education","Q","Popular Science"
"Q29000","Popular Science in Physics","Q","Popular Science"
"Q31000","Popular Science in Law","Q","Popular Science"
"Q32000","Popular Science in Statistics","Q","Popular Science"
"Q33000","Popular Science in Humanities/Arts","Q","Popular Science"
"Q34000","Popular Science in Economics/Management","Q","Popular Science"
"Q35000","Popular Science in Energy","Q","Popular Science"
"Q39000","Popular Science in Literature","Q","Popular Science"
"Q41000","Popular Science in Political Science and International Relations","Q","Popular Science"
"Q42000","Popular Science in Business and Management","Q","Popular Science"
"Q43000","Popular Science in Finance","Q","Popular Science"
"Q00007","Popular Science, general","Q","Popular Science"
